legend_id,source_id,scale,um_class,um_terms,um_rock,name,lith,area_km2,lith_id
67807,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean sedimentary and volcanic rocks,mafic-ultramafic volcanic rocks,6575.143,63;161
68776,154,tiny,major,ophiolit,ophiolite complex,Mesozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,1542.643,63;161
69745,154,tiny,major,ophiolit,ophiolite complex,Paleozoic tectonic rocks,ophiolitic melange; shale,312.509,8
67881,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,mafic-ultramafic volcanic rocks; tholeiite,58737.409,63;161
67866,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,mafic-ultramafic volcanic rocks; tholeiite,4551.964,63;161
68786,154,tiny,major,ophiolit,ophiolite complex,Mesozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,2723.717,63;161
68473,154,tiny,major,ophiolit,ophiolite complex,Mesozoic-Cenozoic sedimentary and volcanic rocks,ophiolite complex; mafic volcanic rocks; spilite,1605.151,63;161
69767,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; basalt,505.499,63;70;161
69244,154,tiny,major,komatiit;ultramaf,komatiite,Paleoproterozoic volcanic rocks,mafic-ultramafic volcanic rocks; komatiite,678.813,63;127;161
68766,154,tiny,major,ophiolit,ophiolite complex,Mesozoic tectonic rocks,ophiolitic melange; mafic-intermediate volcanic rocks; shale,159.199,8;63;161
69765,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,685.913,63;161
68601,154,tiny,major,ophiolit,ophiolite complex,Mesozoic sedimentary and volcanic rocks,ophiolite complex; unclassified volcanic rocks,39518.609,63
69757,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; basalt,587.407,63;70;161
67887,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,mafic-ultramafic volcanic rocks,8254.392,63;161
68778,154,tiny,major,ophiolit,ophiolite complex,Mesozoic volcanic and intrusive rocks,"ophiolite complex; mafic volcanic rocks; marl,limestone,radiolarian chert",638.473,19;30;45;63;161
68069,154,tiny,major,ophiolit,ophiolite complex,Cenozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; basalt,260.494,63;70;161
67882,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,mafic-ultramafic volcanic rocks; tholeiite,1372.279,63;161
67801,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean sedimentary and volcanic rocks,mafic-ultramafic volcanic rocks,2287.498,63;161
69249,154,tiny,major,komatiit;ultramaf,komatiite,Paleoproterozoic volcanic rocks,mafic-ultramafic volcanic rocks; komatiite,664.144,63;127;161
69752,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; basalt,340.393,63;70;161
67844,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic and intrusive rocks,greenstone belt; mafic-ultramafic volcanic rocks,23662.49,63;87;161
67880,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,mafic-ultramafic volcanic rocks,2129.666,63;161
68513,154,tiny,major,ophiolit,ophiolite complex,Mesozoic-Cenozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; basalt,6662.679,63;70;161
69738,154,tiny,major,ophiolit,ophiolite complex,Paleozoic tectonic rocks,"ophiolitic melange; shale,chert,breccia",1475.86,8;15;45
68777,154,tiny,major,ophiolit,ophiolite complex,Mesozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; boninite,1072.307,63;161
69248,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Paleoproterozoic volcanic rocks,mafic-ultramafic volcanic rocks,3969.045,63;161
67857,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,mafic-ultramafic volcanic rocks,1011.118,63;161
69742,154,tiny,major,ophiolit,ophiolite complex,Paleozoic tectonic rocks,ophiolitic melange; shale,63.505,8
69231,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Paleoproterozoic volcanic and intrusive rocks,mafic-ultramafic volcanic rocks; basalt,96.949,63;70;161
68512,154,tiny,major,ophiolit,ophiolite complex,Mesozoic-Cenozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,10580.628,63;161
68186,154,tiny,major,picrit,picrite,Cenozoic volcanic rocks,mafic volcanic rocks; picrite,5673.591,63;161
67845,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic and intrusive rocks,mafic-ultramafic volcanic rocks,4430.944,63;161
67870,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean volcanic rocks,greenstone belt; mafic-ultramafic volcanic rocks,76939.664,63;87;161
67802,154,tiny,major,ultramaf,ultramafic rock (undifferentiated),Archean sedimentary and volcanic rocks,mafic-ultramafic volcanic rocks; tholeiite,2482.559,63;161
69130,154,tiny,major,komatiit;ultramaf,komatiite,Paleoproterozoic sedimentary and volcanic rocks,mafic-ultramafic volcanic rocks; komatiite,331.749,63;127;161
69749,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks; basalt,115.594,63;70;161
69760,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,126.951,63;161
69766,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,864.227,63;161
69751,154,tiny,major,ophiolit,ophiolite complex,Paleozoic volcanic and intrusive rocks,ophiolite complex; mafic volcanic rocks,69.997,63;161
13076,7,small,major,ultramaf,ultramafic rock (undifferentiated),Permian plutonic: ultramafic rocks,plutonic: ultramafic rocks,387.774,52
12607,7,small,major,ultramaf,ultramafic rock (undifferentiated),Devonian plutonic: mafic and ultramafic rocks,plutonic: mafic and ultramafic rocks,117.842,52;161
13181,7,small,major,ultramaf,ultramafic rock (undifferentiated),Triassic plutonic: ultramafic rocks,plutonic: ultramafic rocks,155.477,52
12967,7,small,major,ultramaf,ultramafic rock (undifferentiated),Ordovician-Silurian plutonic: ultramafic rocks,plutonic: ultramafic rocks,31.815,52
12563,7,small,major,ultramaf,ultramafic rock (undifferentiated),Cretaceous plutonic: ultramafic rocks,plutonic: ultramafic rocks,11.77,52
12700,7,small,major,ultramaf,ultramafic rock (undifferentiated),Jurassic plutonic: ultramafic rocks,plutonic: ultramafic rocks,376.922,52
12823,7,small,major,ultramaf,ultramafic rock (undifferentiated),Mississippian-Triassic plutonic: ultramafic rocks,plutonic: ultramafic rocks,716.269,52
13032,7,small,major,ultramaf,ultramafic rock (undifferentiated),Paleoproterozoic plutonic: ultramafic rocks,plutonic: ultramafic rocks,2178.305,52
12698,7,small,major,ultramaf,ultramafic rock (undifferentiated),Jurassic plutonic: mafic and ultramafic rocks,plutonic: mafic and ultramafic rocks,10798.739,52;161
13042,7,small,major,ultramaf,ultramafic rock (undifferentiated),Paleozoic-Mesozoic plutonic: ultramafic rocks,plutonic: ultramafic rocks,380.382,52
12613,7,small,major,ultramaf,ultramafic rock (undifferentiated),Devonian-Triassic plutonic: ultramafic rocks,plutonic: ultramafic rocks,180.15,52
12817,7,small,major,ultramaf,ultramafic rock (undifferentiated),Mississippian-Permian plutonic: ultramafic rocks,plutonic: ultramafic rocks,1018.849,52
12960,7,small,major,ultramaf,ultramafic rock (undifferentiated),Ordovician plutonic: ultramafic rocks,plutonic: ultramafic rocks,198.241,52
12541,7,small,major,ultramaf,ultramafic rock (undifferentiated),Cambrian-Ordovician plutonic: ultramafic rocks,plutonic: ultramafic rocks,2749.817,52
66537,147,small,major,ultramaf,ultramafic rock (undifferentiated),Ordovician volcanic,volcanic ultramafic group,3157.335,63
65343,147,small,major,ultramaf,serpentinite,Asenovgrad Ophiolite,"Major:{plutonic ultramafic group}, Minor{gabbro,serpentinite}",10.191,52;59;88
66939,147,small,major,ultramaf,ultramafic rock (undifferentiated),Proterozoic I plutonic,"Major:{plutonic ultramafic group}, Minor{plutonic alkaline group,gabbro}",240.498,52;59
66479,147,small,major,ophiolit,ophiolite complex,ophiolite complex,basalt,64.379,70
67001,147,small,major,ultramaf,ultramafic rock (undifferentiated),Rhum Central Complex,plutonic ultramafic group,42.904,52
67220,147,small,major,ultramaf,ultramafic rock (undifferentiated),Urals,plutonic ultramafic group,38.835,52
66488,147,small,major,ophiolit,ophiolite complex,ophiolite complex,gabbro,303.25,59
66482,147,small,major,ultramaf,serpentinite,ophiolite complex,"Major:{plutonic ultramafic group}, Minor{serpentinite,tholeiitic basalt,gabbro}",2017.549,52;59;70;88
65296,147,small,major,peridotit,peridotite,"Aar Massif, Austroalpine nappes, Ivia zone",meta-peridotite,189.712,61
67217,147,small,major,ultramaf,ultramafic rock (undifferentiated),Urals,plutonic ultramafic group,88.421,52
65297,147,small,major,peridotit,peridotite,"Aar Massif, Austroalpine nappes, Ivia zone",meta-peridotite,395.39,61
66008,147,small,major,ultramaf,ultramafic rock (undifferentiated),Ivrea Verbano Complex,plutonic ultramafic group,29.955,52
65565,147,small,major,ultramaf,ultramafic rock (undifferentiated),Caucasus,plutonic ultramafic group,196.597,52
67207,147,small,major,ultramaf,ultramafic rock (undifferentiated),Urals,plutonic ultramafic group,5719.933,52
67004,147,small,major,peridotit,peridotite,Ronda Peridotite,meta-peridotite,632.513,61
66953,147,small,major,serpentin,serpentinite,Proterozoic I serpentinite,serpentinite,66.604,88
67162,147,small,major,peridotit,peridotite,Upper Penninic Nappes,"meta-basalt group, meta-peridotite",704.508,61;70
65696,147,small,major,serpentin,serpentinite,"Dobromirtsi, Yakovitsa",serpentinite,66.668,88
67131,147,small,major,ophiolit,ophiolite complex,Troodos Ophiolite,plutonic ultramafic group,169.383,52
67132,147,small,major,ophiolit,serpentinite,Troodos Ophiolite,serpentinite,31.594,88
66477,147,small,major,ultramaf,ophiolite complex,ophiolite complex,"Major:{plutonic ultramafic group}, Minor{basalt group,gabbro}",82.772,52;59;70
66483,147,small,major,serpentin,serpentinite,ophiolite complex,"Major:{serpentinite}, Minor{gabbro,tholeiitic basalt,peridotite}",315.682,59;61;70;88
66489,147,small,major,ophiolit,ophiolite complex,ophiolite complex,plutonic ultramafic group,240.156,52
66009,147,small,major,ultramaf,ultramafic rock (undifferentiated),Ivrea Verbano Complex,plutonic ultramafic group,137.977,52
66490,147,small,major,ultramaf,serpentinite,ophiolite complex,"Major:{plutonic ultramafic group}, Minor{basalt group,serpentinite}",3120.011,52;70;88
67160,147,small,major,ultramaf,serpentinite,Unst/Fetlar Ophiolite Complex,"Major:{plutonic ultramafic group}, Minor{gabbro,serpentinite}",125.236,52;59;88
66221,147,small,major,ultramaf,ophiolite complex,Lizard Ophiolite Complex,"Major:{plutonic ultramafic group}, Minor{basalt group,gabbro}",75.066,52;59;70
67140,147,small,major,ophiolit,ophiolite complex,"Tyrone Ophiolite, part of Tyrone Igneous Complex",granite group,71.484,53
66448,147,small,major,peridotit,peridotite,ocean-continent transition of various ages,peridotite,79455.457,61
66573,147,small,major,ultramaf,ultramafic rock (undifferentiated),Palaeocene volcanic,volcanic ultramafic group,40.796,63
66447,147,small,major,serpentin,serpentinite,ocean-continent transition of various ages,serpentinite,7016.712,88
65295,147,small,major,peridotit,peridotite,"Aar Massif, Austroalpine nappes, Ivia zone",meta-peridotite,75.788,61
66476,147,small,major,ophiolit,peridotite,ophiolite complex,peridotite,5425.158,61
65575,147,small,major,ultramaf,ultramafic rock (undifferentiated),Caucasus,plutonic ultramafic group,101.679,52
66481,147,small,major,ophiolit,ophiolite complex,ophiolite complex,gabbro,177.927,59
66540,147,small,major,ultramaf,ultramafic rock (undifferentiated),Ostalpines Kristallin,"Major:{plutonic ultramafic group}, Minor{basalt group,gabbro}",40.068,52;59;70
65690,147,small,major,dunit;harzburg;lherzol,dunite,Dinaric Ophiolite Zone,"Major:{dunite, harzburgite, lherzolite}, Minor{amphibolite,serpentinite,gabbro}",1932.813,59;86;88;128
65672,147,small,major,ultramaf,ultramafic rock (undifferentiated),Devonian plutonic,plutonic ultramafic group,2026.531,52
66480,147,small,major,ophiolit,ophiolite complex,ophiolite complex,tholeiitic basalt,643.59,70
67257,147,small,major,ultramaf,ultramafic rock (undifferentiated),Urals; Timanian Ridge,plutonic ultramafic group,5360.991,52
66487,147,small,major,ophiolit,ophiolite complex,ophiolite complex,basalt group,54.104,70
66138,147,small,major,peridotit,peridotite,Late Cretaceous peridotite,peridotite,645.933,61
67239,147,small,major,ultramaf,ultramafic rock (undifferentiated),"Urals, Kazakhstan",plutonic ultramafic group,46.71,52
66737,147,small,major,ultramaf,ultramafic rock (undifferentiated),Precambrian plutonic,plutonic ultramafic group,1090.394,52
67305,147,small,major,ophiolit,serpentinite,Zobten Ophiolite,serpentinite,134.407,88
67229,147,small,major,ultramaf,ultramafic rock (undifferentiated),Urals,plutonic ultramafic group,4454.415,52
66494,147,small,major,ophiolit,ophiolite complex,ophiolite complex,plutonic ultramafic group,18.918,52
66486,147,small,major,ophiolit,ophiolite complex,ophiolite complex,plutonic ultramafic group,441.589,52
66492,147,small,major,ophiolit,ophiolite complex,ophiolite complex,gabbro,108.744,59
66485,147,small,major,ophiolit,ophiolite complex,ophiolite complex,basalt,4878.618,70
66495,147,small,major,ophiolit,ophiolite complex,ophiolite complex,basalt,16299.571,70
97546,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: gabbroic,"gabbro, pyroxenite, anorthosite",120.389,59;62;101
97815,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro",638.433,59;61;62;128
98046,2,small,minor,peridotit;serpentin;ultramaf,serpentinite,Igneous: intrusive; Intrusive: undivided,"granite, quartz monzonite, monzogranite; syenite, trondhjemite, granite, pegmatite; ultramafic rocks: serpentinised peridotite, hornblendite",33503.87,53;54;56;61;99;131;144;151
97764,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: granitic,"granitic migmatite, orthogneiss, megacrystic monzogranite, amphibolite, pyroxenite, meta-anorthositic gabbro, mylonite",29164.001,59;62;79;80;81;86;144
97831,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",16.674,59;61;62;128
97811,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",2039.885,59;61;62;128
100302,2,small,minor,dunit;peridotit;pyroxenit,peridotite,Sedimentary; Slope and deep water,"predominantly psammite, semipelite, and pelite interlayered with tonalite, leucogranite, peridotite, pyroxenite, dunite",22891.496,7;58;61;62;128;189
97829,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",192.885,59;61;62;128
97817,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",79.635,59;61;62;128
97825,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",3255.268,59;61;62;128
97827,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",480.274,59;61;62;128
97821,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"mafic to ultramafic rocks: gabbro, pyroxenite,  peridotite, and schist",80.921,59;61;62;84;161
100488,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Supracrustal; Sedimentary and/or volcanic: undivided,"metasedimentary gneiss, marble, ultramafic amphibolite, calc-silicate rocks",2315.655,79;86;90;122
97374,2,small,major,ultramaf,komatiite,Igneous: extrusive; Extrusive: ultramafic,"komatiite, picrite, peridotite, pyroxenite, gabbro, wehrlite, tholeiitic metabasalt",474.051,59;61;62;127;128;133
97803,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro or metamorphosed equivalent",35.779,59;61;62;128
98034,2,small,minor,peridotit;pyroxenit,peridotite,Igneous: intrusive; Intrusive: undivided,"granite, granodiorite; syenogranite; tonalite gneiss, quartz diorite; gabbro, anorthositic gabbro,  peridotite; pyroxenite",43802.179,53;55;57;58;59;61;62;79;145
98045,2,small,minor,peridotit;serpentin;ultramaf,serpentinite,Igneous: intrusive; Intrusive: undivided,"granite, quartz monzonite, monzogranite; syenite, trondhjemite, granite, pegmatite; ultramafic rocks: serpentinised peridotite, hornblendite",13762.886,53;54;56;61;99;131;144;151
97974,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: tonalitic-granodioritic,"tonalite, quartz diorite; granodiorite; monzogranite, syenogranite; minor anorthosite, metapyroxenite, amphibolite",6780.549,55;57;58;86;101;144;145
100443,2,small,minor,peridotit,peridotite,Supracrustal; Sedimentary and/or volcanic: undivided,"metamorphosed siliciclastic rocks: pelitic gneiss/schist, marble,  metabasalt, gabbro, quartzite; peridotite; psammite, pelite, marble, dolomite, calc-silicate, arkose, wacke, iron-formation; pyroclastic rocks",34470.081,1;7;11;12;31;59;61;79;84;85;90;133
97805,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",81.037,59;61;62;128
97809,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",189.231,59;61;62;128
97834,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro or metamorphosed equivalent",140.737,59;61;62;128
98024,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Igneous: intrusive; Intrusive: undivided,"acasta gneiss complex: granitic, granodioritic, tonalitic and dioritic orthogneiss, minor paragneiss, mafic and ultramafic enclaves",1933.833,79;120;161
98039,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: undivided,"tonalite, quartz diorite gneiss; pyroxenite, amphibolite, hornblendite; migmatite",22518.641,57;58;62;79;80;86
97819,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,ultramafic rock; peridotite association,13.407,61
97272,2,small,major,peridotit;pyroxenit,pyroxenite,Igneous: extrusive; Extrusive: mafic,"basalt, gabbro, pyroxenite, peridotite",4918.303,59;61;62;70
97814,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro",389.138,59;61;62;128
98040,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: undivided,"tonalite, quartz diorite gneiss; pyroxenite, amphibolite, hornblendite; migmatite",1353.224,57;58;62;79;80;86
97813,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"peridotite, dunite, pyroxenite, serpentinite",88.901,61;62;88;128
98051,2,small,minor,peridotit;pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: undivided,"tonalite, monzogranite to syenogranite; monzodiorite, granite, syenite, pyroxenite, peridotite, anorthosite",5351.734,53;56;58;61;62;101;144;145
97506,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: anorthositic,"gabbro, pyroxenite, anorthosite",212.261,59;62;101
98053,2,small,minor,peridotit;serpentin;ultramaf,serpentinite,Igneous: intrusive; Intrusive: undivided,"diorite, monzodiorite, tonalite, granodiorite, monzogranite, syenogranite, quartz-monzonite, tonalite; gabbro, ultramafics: serpentinized peridotite ; charnockite and orthogneiss",15000.07,54;55;57;58;59;61;79;129;144;145
97457,2,small,minor,peridotit,peridotite,Igneous: extrusive; Extrusive: undivided,"basalt,  amphibolite, mafic schist; rhyolite,  trachyte; lapilli tuff; quartzite, gabbro, peridotite",5186.297,59;61;64;66;70;76;84;85;86;161
97596,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Igneous: intrusive; Intrusive: gabbroic,"gabbro, diorite, ultramafic rocks, anorthosite, diabase",149.696,57;59;94;101
97816,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",91.418,59;61;62;128
97519,2,small,minor,peridotit,peridotite,Igneous: intrusive; Intrusive: anorthositic,"gabbro, monzodiorite, mafic dykes and sills, anorthosite, peridotite",4551.122,59;61;101;161
97375,2,small,major,ultramaf,komatiite,Igneous: extrusive; Extrusive: ultramafic,"komatiite, picrite, peridotite, pyroxenite, gabbro, wehrlite, tholeiitic metabasalt",1370.864,59;61;62;127;128;133
97376,2,small,major,ultramaf,komatiite,Igneous: extrusive; Extrusive: ultramafic,"komatiite, nephelinite, picrite, basalt; ",490.792,70;127
97836,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro",34.363,59;61;62;128
97973,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: tonalitic-granodioritic,"tonalite, quartz diorite; granodiorite; monzogranite, syenogranite; minor anorthosite, metapyroxenite, amphibolite",6246.089,55;57;58;86;101;144;145
97856,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: syenitic,"peridotite, subalkaline and alkaline gabbro, nepheline syenite, carbonatite",250.236,56;59;61;102
98003,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Igneous: intrusive; Intrusive: undivided,"granitic, granodioritic, tonalitic and dioritic orthogneiss, minor paragneiss, mafic and ultramafic enclaves",27321.806,79;120;161
97520,2,small,minor,peridotit,peridotite,Igneous: intrusive; Intrusive: anorthositic,"gabbro, monzodiorite, mafic dykes and sills, anorthosite, peridotite",1.133,59;61;101;161
97599,2,small,minor,dunit;pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: gabbroic,"basalt; diabase; pyroxenite, gabbro, peridotire, dunite",2514.66,59;62;70;94;128
97756,2,small,minor,peridotit,peridotite,Igneous: intrusive; Intrusive: granitic,"charnockite, monzogranite to syenogranite, granodiorite; quartz diorite, diorite, metaperidotite",75734.246,55;57;129;144;145
98035,2,small,minor,peridotit;pyroxenit,peridotite,Igneous: intrusive; Intrusive: undivided,"granite, granodiorite; syenogranite; tonalite gneiss, quartz diorite; gabbro, anorthositic gabbro,  peridotite; pyroxenite",353.663,53;55;57;58;59;61;62;79;145
100491,2,small,minor,komatiit,komatiite,Supracrustal; Sedimentary and/or volcanic: undivided,"mafic and intermediate metavolcanic rocks, pillowed flows, intercalated volcaniclastic rocks;iamphibolite, komatiite, banded iron-formation",14873.376,49;127;161;178
100468,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Supracrustal; Sedimentary and/or volcanic: undivided,"mafic, intermediate and felsic volcanics, clastic metasedimentary rocks, schist, iron-formation; ultramafics, anorthosite",1195.465,63;84;101;122;161
99535,2,small,minor,peridotit,peridotite,Sedimentary; Marine sedimentary: undivided,"sandstone, quartzite; polymictic conglomerate; marble, calcsilicate; slate, ironstone, chert; minor basalt, gabbro, peridotite",3976.984,10;14;45;47;59;61;70;82;85;90
97798,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"peridotite, dunite, pyroxenite, serpentinite",53.164,61;62;88;128
97797,2,small,major,kimberlit,kimberlite,Igneous: intrusive; Intrusive: kimberlitic,"kimberlite, lamproite",6.459,100
97597,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Igneous: intrusive; Intrusive: gabbroic,"gabbro, diorite, ultramafic rocks, anorthosite, diabase",84.475,57;59;94;101
97969,2,small,minor,pyroxenit,pyroxenite,Igneous: intrusive; Intrusive: tonalitic-granodioritic,"granite, tonalite to diorite, leuconorite, gabbro, pyroxenite",1692.277,53;57;58;59;62
97835,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro or metamorphosed equivalent",258.971,59;61;62;128
100441,2,small,minor,peridotit,peridotite,Supracrustal; Sedimentary and/or volcanic: undivided,"metamorphosed siliciclastic rocks: pelitic gneiss/schist, marble,  metabasalt, gabbro, quartzite; peridotite; psammite, pelite, marble, dolomite, calc-silicate, arkose, wacke, iron-formation; pyroclastic rocks",1425.538,1;7;11;12;31;59;61;79;84;85;90;133
97826,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",33.132,59;61;62;128
97760,2,small,minor,peridotit,peridotite,Igneous: intrusive; Intrusive: granitic,"granite, granodiorite, tonalite, quartz diorite, diorite hornblendite, norite, peridotite",3373.676,53;55;57;58;61;108
97806,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"peridotite, dunite, pyroxenite, serpentinite",49.88,61;62;88;128
97602,2,small,major,pyroxenit;ultramaf,pyroxenite,Igneous: intrusive; Intrusive: gabbroic,"gabbro, metagabbro,  ultramafic rocks, pyroxenite",98.239,59;62;133
97810,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",43.397,59;61;62;128
97804,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",113.146,59;61;62;128
97170,2,small,minor,pyroxenit,pyroxenite,Igneous: extrusive; Extrusive: intermediate,"basalt, andesite, rhyolite, rhyodacite; tuff, mafic schist; slate, schist, semipelite, sandstone; pyroxenite, gabbro",1957.495,10;59;62;64;67;69;70;76;82;84;161
100442,2,small,minor,peridotit,peridotite,Supracrustal; Sedimentary and/or volcanic: undivided,"metamorphosed siliciclastic rocks: pelitic gneiss/schist, marble,  metabasalt, gabbro, quartzite; peridotite; psammite, pelite, marble, dolomite, calc-silicate, arkose, wacke, iron-formation; pyroclastic rocks",58777.295,1;7;11;12;31;59;61;79;84;85;90;133
97837,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",780.595,59;61;62;128
97377,2,small,major,ultramaf,komatiite,Igneous: extrusive; Extrusive: ultramafic,"komatiite, nephelinite, picrite, basalt; ",154.567,70;127
100494,2,small,minor,ultramaf,ultramafic rock (undifferentiated),Supracrustal; Sedimentary and/or volcanic: undivided,"undifferentiated supracrustal rocks: pelite, metawacke, iron formation,  mafic and ultramafic volcanic rocks",14658.719,7;48;63;161
97812,2,small,major,peridotit,peridotite,Igneous: intrusive; Intrusive: peridotitic,"pyroxenite, peridotite, dunite, harzburgite, wherlite, gabbro; ",658.509,59;61;62;128
97373,2,small,major,ultramaf,komatiite,Igneous: extrusive; Extrusive: ultramafic,"komatiite, nephelinite, picrite, basalt",57.529,70;127
98054,2,small,minor,peridotit;serpentin;ultramaf,serpentinite,Igneous: intrusive; Intrusive: undivided,"diorite, monzodiorite, tonalite, granodiorite, monzogranite, syenogranite, quartz-monzonite, tonalite; gabbro, ultramafics: serpentinized peridotite ; charnockite and orthogneiss",327929.408,54;55;57;58;59;61;79;129;144;145
